IU	I	General Conduct of Military Operations -> Encryption and Decryption
IV	I	General Conduct of Military Operations -> Guerilla Warfare
IX	I	General Conduct of Military Operations -> Provisional Classification
IZ	I	General Conduct of Military Operations -> Non-classifiable Terms
JA	J	Logistics -> General
JB	J	Logistics -> Military Finances
JC	J	Logistics -> Military Matériel Management
JD	J	Logistics -> Supply
JE	J	Logistics -> Combat Service Support
JF	J	Logistics -> Clothing
JG	J	Logistics -> Food Services
JH	J	Logistics -> Military Transportation
JI	J	Logistics -> Construction Engineering
JJ	J	Logistics -> Military Equipment Maintenance
JK	J	Logistics -> Land Equipment Maintenance
JL	J	Logistics -> Naval Equipment Maintenance
JM	J	Logistics -> Air Matériel Maintenance
JN	J	Logistics -> Accommodation
JO	J	Logistics -> Medical Services
JO1	JO	Logistics -> Medical Services -> Dental Services
JX	J	Logistics -> Provisional Classification
JZ	J	Logistics -> Non-classifiable Terms
KA	K	Military Equipment -> General
KB	K	Military Equipment -> Modernization of Military Equipment
KC	K	Military Equipment -> Land Equipment
KD	K	Military Equipment -> Wheeled Vehicles
KE	K	Military Equipment -> Tracked Vehicles
KF	K	Military Equipment -> Naval Equipment
KG	K	Military Equipment -> Aerospace Equipment
KX	K	Military Equipment -> Provisional Classification
KZ	K	Military Equipment -> Non-classifiable Terms
LA	L	Combined Forces -> General
LB	L	Combined Forces -> Military Training
LC	L	Combined Forces -> Military Communications
LD	L	Combined Forces -> Air Defence
LG	L	Combined Forces -> Special Forces
LH	L	Combined Forces -> Specialized Forces
LX	L	Combined Forces -> Provisional Classification
LZ	L	Combined Forces -> Non-classifiable Terms
SA	S	Security -> Security
SB	S	Security -> Protection of Property
SC	S	Security -> Protection of Life
SD	S	Security -> Security Devices
SD1	SD	Security -> Security Devices -> Security Systems
SD2	SD	Security -> Security Devices -> Badges and Instruments of Identification
SD3	SD	Security -> Security Devices -> Security Posters and Signs
SG	S	Security -> Corporate Security
SH	S	Security -> Protective Clothing
SJ	S	Security -> Police
SK	S	Security -> Civil Protection
SL	S	Security -> Internal Security
SX	S	Security -> Provisional Classification
SZ	S	Security -> Non-classifiable Terms
TA	T	Fire Safety -> General
TB	T	Fire Safety -> Fire Warning Devices
TC	T	Fire Safety -> Fire Detection
TD	T	Fire Safety -> Forest Fires
TE	T	Fire Safety -> Fixed Rescue Facilities
TF	T	Fire Safety -> Fire-Fighting Techniques
TG	T	Fire Safety -> Fire-Fighting and Rescue Equipment
TH	T	Fire Safety -> Fire Prevention
TI	T	Fire Safety -> Pre-Fire Planning
TJ	T	Fire Safety -> Fire Regulations
TK	T	Fire Safety -> Fire-Fighting Services
TL	T	Fire Safety -> Fires and Explosions
TM	T	Fire Safety -> Fire-Fighting Apparel
TN	T	Fire Safety -> Fireproofing
TO	T	Fire Safety -> Extinguishing Agents
TX	T	Fire Safety -> Provisional Classification
TZ	T	Fire Safety -> Non-classifiable Terms
VA	V	Military Training and Education -> General
VB	V	Military Training and Education -> Exercises
VC	V	Military Training and Education -> Training and Education Control
VC1	VC	Military Training and Education -> Training and Education Control -> Planning
VC2	VC	Military Training and Education -> Training and Education Control -> Execution
VC3	VC	Military Training and Education -> Training and Education Control -> Evaluation
VD	V	Military Training and Education -> Training and Education Equipment
VE	V	Military Training and Education -> Training Fields
VF	V	Military Training and Education -> E-Training
